번호,구조일자,종류,품종,시군구,발생장소
1283,2020-06-08,개,진도,대덕,신대동 358-6번지 주변
1284,2020-06-08,고양이,코리안숏헤어,대덕,신탄진네거리 주변
1285,2020-06-08,고양이,코리안숏헤어,대덕,덕암동 79-4번지 주변
1286,2020-06-08,개,푸들,유성,봉명동 도안신도시 7단지 예미지백조의호수@ 주변
1287,2020-06-08,고양이,코리안숏헤어,유성,송정동 18-4 다육이농장 주변
1288,2020-06-08,고양이,코리안숏헤어,중구,목동 현대@ 주변
1289,2020-06-08,개,믹스,서구,"초록마을 1,2단지 사이 천변"
1290,2020-06-08,고양이,코리안숏헤어,서구,이응노미술관 인근
1291,2020-06-08,고양이,코리안숏헤어,서구,이응노미술관 인근
1292,2020-06-08,고양이,코리안숏헤어,서구,이응노미술관 인근
1293,2020-06-08,고양이,코리안숏헤어,서구,이응노미술관 인근
1294,2020-06-08,개,믹스,유성,가정동 95-8번지 주변
1295,2020-06-08,개,믹스,유성,가정동 95-8번지 주변
1296,2020-06-08,개,믹스,유성,가정동 95-8번지 주변
1297,2020-06-08,개,믹스,유성,가정동 95-8번지 주변
1298,2020-06-08,고양이,코리안숏헤어,중구,태평동 278-65번지 주변
1299,2020-06-08,고양이,코리안숏헤어,서구,도마동 박병석위원사무실 인근
1300,2020-06-08,고양이,페르시안,서구,관저동 천년나무@ 인근
1301,2020-06-09,고양이,코리안숏헤어,서구,가수원동 경진기업 인근
1302,2020-06-09,고양이,코리안숏헤어,서구,가수원동 경진기업 인근
1303,2020-06-09,고양이,코리안숏헤어,서구,가수원동 경진기업 인근
1304,2020-06-09,고양이,코리안숏헤어,대덕,와동 주공@ 114동 주변
1305,2020-06-09,고양이,코리안숏헤어,대덕,와동 주공@ 114동 주변
1306,2020-06-09,개,말티즈,중구,대흥동 동건참좋은@ 주변
1307,2020-06-09,개,믹스,중구,안영동 120-5번지 주변
1308,2020-06-09,고양이,코리안숏헤어,중구,문창동 68-2번지 주변
1309,2020-06-10,고양이,코리안숏헤어,중구,산성동 136-27번지 주변
1310,2020-06-10,고양이,코리안숏헤어,중구,산성동 136-27번지 주변
1311,2020-06-10,고양이,코리안숏헤어,중구,오류동 158-7번지 주변
1312,2020-06-10,고양이,코리안숏헤어,중구,대흥동 142-1번지 만월호텔 주변
1313,2020-06-09,고양이,코리안숏헤어,서구,도마실내체육관 인근
1314,2020-06-10,고양이,코리안숏헤어,서구,월평지구대 인근
1315,2020-06-10,개,말티즈,서구,갈마동 버스정류장 인근
1316,2020-06-10,고양이,코리안숏헤어,서구,갈마동 갈마@ 인근
1317,2020-06-09,고양이,코리안숏헤어,유성,구암동 622-36번지 주변
1318,2020-06-09,고양이,코리안숏헤어,유성,구암동 622-36번지 주변
1319,2020-06-09,고양이,코리안숏헤어,유성,구암동 622-36번지 주변
1320,2020-06-09,고양이,코리안숏헤어,유성,구암동 622-36번지 주변
1321,2020-06-10,고양이,코리안숏헤어,유성,봉명동 휴먼시아도안1단지@ 주변
1322,2020-06-11,고양이,코리안숏헤어,유성,지족동 1051 노은3지구 노은4단지 관리사무소 주변
1323,2020-06-04,개,믹스,동구,낭월동 이편한세상@ 인근
1324,2020-06-11,고양이,코리안숏헤어,중구,선화동 74-5번지 주변
1325,2020-06-11,고양이,코리안숏헤어,중구,선화동 74-5번지 주변
1326,2020-06-11,고양이,코리안숏헤어,중구,산성동 167-26번지 주변
1327,2020-06-11,고양이,코리안숏헤어,유성,원내동 829번지 교촌치킨 주변
1328,2020-06-10,개,포메라이언,동구,신흥동 어진마을@ 인근
1329,2020-06-11,개,말티즈,동구,용전동 동아영상의학과 인근
1330,2020-06-11,개,믹스,동구,세천삼거리 인근
1331,2020-06-11,개,믹스,동구,세천삼거리 인근
1332,2020-06-11,개,믹스,동구,세천삼거리 인근
1333,2020-06-11,개,믹스,동구,세천삼거리 인근
1334,2020-06-11,개,믹스,동구,판암우체국 인근
1335,2020-06-11,고양이,코리안숏헤어,동구,가양초등학교 인근
1336,2020-06-11,고양이,코리안숏헤어,동구,가양초등학교 인근
1337,2020-06-11,고양이,코리안숏헤어,동구,가양초등학교 인근
1338,2020-06-11,개,치와와,서구,갈마동 다운빌라 인근
1339,2020-06-12,고양이,코리안숏헤어,서구,내동 자연인테리어 인근
1340,2020-06-12,고양이,코리안숏헤어,서구,내동 자연인테리어 인근
1341,2020-06-11,고양이,코리안숏헤어,중구,대흥동 성심약국 주변
1342,2020-06-11,고양이,코리안숏헤어,중구,목동 하나은행 주변
1343,2020-06-12,고양이,코리안숏헤어,중구,문창동 하상도로 주변
1344,2020-06-12,개,푸들,중구,문화주공 1단지 106동 주변
1345,2020-06-12,개,말티즈,중구,안영IC 주변
1346,2020-06-12,기타,앵무새,대덕,오정동 한남대 정선균 선교관 주변
1347,2020-06-12,고양이,코리안숏헤어,유성,관평동 1354번지 오피스텔 공사현장 주변
1348,2020-06-12,고양이,코리안숏헤어,유성,봉명동 606-1번지 주변
